cancer,metabolism score,CD8+T,log10(totalTNB+1),MHC_score,OS_1y_rate
SKCM_27,44329.72623,9314.023605,2.397940009,0.40572446,0.7314
SKCM_28,44013.31584,9760.808672,1.875177044,0.473644794,0.741
T_1,45660.07096,12402.06688,1.113943352,0.491097971,0.5743
TC_1,45260.32953,12806.63914,1.462397998,0.586782504,0.617
TC_2,47081.47997,12422.79037,1.657670238,0.573889681,0.71
TNBC_1,44812.85342,10097.2341,1.869073044,0.470574972,0.37
TNBC_2,44464.33831,10677.86451,1.75121356,0.472970818,0.398
TNBC_3,44844.76765,10410.62301,1.788860762,0.511702334,0.425
TNBC_4,44133.88087,10288.8256,1.823691485,0.480972321,0.431
UCECH_1,46942.053,9799.501241,3.163163219,0.471319765,0.51
UCECH_2,46192.31127,10071.64488,2.950931229,0.479928989,0.6147
UCECH_3,46649.11045,10526.12605,3.107485073,0.505705869,0.71
UCECH_4,46392.83522,10714.90625,3.088136089,0.501359802,0.71
UCECH_5,46529.42762,9958.992586,3.204522181,0.37025968,0.727
UCECH_6,46280.01161,10655.02728,3.212053854,0.51426035,0.73
UCECL_1,45264.46954,9706.267206,1.612783857,0.46754662,0.1869
UCECL_2,45293.37628,9404.153021,1.653105254,0.486879911,0.51
UVM_1,44442.31225,8018.2401,1.020696343,0.337274494,0.22
GESC_1,43460.42076,9842.540377,,0.477418273,0.046
GESC_2,43236.7014,9366.390551,,0.462965715,0.22
GESC_3,44065.19909,9971.611039,,0.528628108,0.229
GESC_4,43314.81805,9414.944404,,0.448810839,0.234
GESC_5,44141.71562,9782.014264,,0.483346244,0.256
GESC_6,43248.64166,10045.89336,,0.467424893,0.273
GESC_7,43658.39617,9689.201252,,0.481272725,0.298
GESC_8,43720.23706,10034.0001,,0.464649817,0.39
GESC_9,43789.13365,9158.628058,,0.45655426,0.4
GESC_10,43509.80944,9532.697597,,0.434571803,0.4
